claim_text,bilstm_prob,fc_prob,fc_found,newsapi_prob,newsapi_found,gnews_prob,gnews_found,llm_prob,llm_found,final_calculated_prob,predicted_label
kim jong un fires ballistic missiles,0.7980526924133301,0.2,0,0.75,1,0.3,0,0.5,0,0.6499026346206664,✅ REAL NEWS
"'Military coup in France'... Macron protests a video, and an African president calls",0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
A Largescale Drone Attack Known As Operation Spiderweb Launched By Ukraine,0.2,0,0.3,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
India LPG Cylinder Shortage News Live Updates: LPG-laden ship reaches Mundra Port; govt assures uninterrupted supply,0.2,0,0.3,0,0.75,1,0.5,0,0.6475000000000001,✅ REAL NEWS
இந்தியாவின் பவர் செக்டார்: கோல் இந்தியா முதல் JSW எனர்ஜி வரை - மல்டிபேக்கர் ஆகப்போகும் 5 பங்குகள்!,0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
"டெஹ்ரான்: இஸ்ரேல் - ஈரான் இடையிலான மோதல் தொடர்ந்து தீவிரமடைந்து வரும் நிலையில், மத்திய கிழக்கில் பதற்றம் அதிகரித்துள்ளது. கடந்த இரண்டு வாரங்களுக்கும் மேலாக நீடித்து வரும் இந்த மோதலுக்கிடையே, இஸ்ரேல் பிரதமர் பெஞ்சமின் நெதன்யாகு குறித்து பல்வேறு தகவல்கள் பரவி வருகின்றன. குறிப்பாக அவர் கடந்த சில நாட்களாக பொதுவெளியில் அதிகமாக காணப்படவில்லை என்ற தகவல் சமூக வலைதளங்களில் பரவியதாது.",0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
"டெஹ்ரான்: இஸ்ரேல் - ஈரான் இடையிலான மோதல் தொடர்ந்து தீவிரமடைந்து வரும் நிலையில், மத்திய கிழக்கில் பதற்றம் அதிகரித்துள்ள ளது. கடந்த இரண்டு வாரங்களுக்கும் மேலாக நீடித்து வரும் இந்த மோதலுக்கிடையே, இஸ்ரேல் பிரதமர் பெஞ்சமின் நெதன்யாகு குறித்து பல்வேறு தகவல்கள் பர                   ரவி வருகின்றன. குறிப்பாக அவர் கடந்த சில நாட்களாக பொதுவெளியில் அதிகமாக காணப்படவில்லை என்ற தகவல் சமூக வலைதளங்களில் பரவியதாத.",0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
kim jong un fires ballistic missiles,0.2,0,0.75,1,0.3,0,0.5,0,0.6475000000000001,✅ REAL NEWS
"டெஹ்ரான்: இஸ்ரேல் - ஈரான் இடையிலான மோதல் தொடர்ந்து தீவிரமடைந்து வரும் நிலையில், மத்திய கிழக்கில் பதற்றம் அதிகரித்துள்ளது. கடந்த இரண்டு வாரங்களுக்கும் மேலாக நீடித்து வரும் இந்த மோதலுக்கிடையே, இஸ்ரேல் பிரதமர் பெஞ்சமின் நெதன்யாகு குறித்து பல்வேறு தகவல்கள் பரவி வருகின்றன. குறிப்பாக அவர் கடந்த சில நாட்களாக பொதுவெளியில் அதிகமாக காணப்படவில்லை என்ற தகவல் சமூக வலைதளங்களில் பரவியதாது",0.5,0,0.5,0,0.5,0,0.5,0,0.2,❌ FAKE NEWS
"டெஹ்ரான்: இஸ்ரேல் - ஈரான் இடையிலான மோதல் தொடர்ந்து தீவிரமடைந்து வரும் நிலையில், மத்திய கிழக்கில் பதற்றம் அதிகரித்துள்ளது. கடந்த இரண்டு வாரங்களுக்கும் மேலாக நீடித்து வரும் இந்த மோதலுக்கிடையே, இஸ்ரேல் பிரதமர் பெஞ்சமின் நெதன்யாகு குறித்து பல்வேறு தகவல்கள் பரவி வருகின்றன. குறிப்பாக அவர் கடந்த சில நாட்களாக பொதுவெளியில் அதிகமாக காணப்படவில்லை என்ற தகவல் சமூக வலைதளங்களில் பரவியதாது",0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
"டெஹ்ரான்: இஸ்ரேல் - ஈரான் இடையிலான மோதல் தொடர்ந்து தீவிரமடைந்து வரும் நிலையில், மத்திய கிழக்கில் பதற்றம் அதிகரித்துள்ளது. கடந்த இரண்டு வாரங்களுக்கும் மேலாக நீடித்து வரும் இந்த மோதலுக்கிடையே, இஸ்ரேல் பிரதமர் பெஞ்சமின் நெதன்யாகு குறித்து பல்வேறு தகவல்கள் பரவி வருகின்றன. குறிப்பாக அவர் கடந்த சில நாட்களாக பொதுவெளியில் அதிகமாக காணப்படவில்லை என்ற தகவல் சமூக வலைதளங்களில் பரவியதாது",0.2,0,0.2,0,0.2,0,0.5,0,0.2,❌ FAKE NEWS
